"Label ID", "Label Name", "Label Color", "Label Match Type", "Label Filters", "Self Link Href", "Self Link Templated", "Self Link Type", "Self Link Deprecation", "Self Link Name", "Self Link Profile", "Self Link Title", "Self Link Hreflang"
"202196", "VPN - GSO - IPC2 - 139.71.152.48", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/202196", "None", "None", "None", "None", "None", "None", "None"



"202201", "VPN - GSO - IPC2 - 139.71.152.51", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/202201", "None", "None", "None", "None", "None", "None", "None"



"202221", "VPN - GUR - 139.71.200.21", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/202221", "None", "None", "None", "None", "None", "None", "None"



"202231", "VPN - NYC - 139.71.136.17", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/202231", "None", "None", "None", "None", "None", "None", "None"



"202236", "VPN - SIN - 139.71.196.20", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/202236", "None", "None", "None", "None", "None", "None", "None"



"202241", "VPN - SYD - 139.71.192.35", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/202241", "None", "None", "None", "None", "None", "None", "None"



"237656", "Sweden Call Center Agents", "#80b1d3", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/237656", "None", "None", "None", "None", "None", "None", "None"



"237661", "Austria Call Center Agents", "#fb8072", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/237661", "None", "None", "None", "None", "None", "None", "None"



"237671", "Belgium Call Center Agents", "#ffffb3", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/237671", "None", "None", "None", "None", "None", "None", "None"



"479156", "Comet GBR", "#fb8072", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/479156", "None", "None", "None", "None", "None", "None", "None"



"480336", "Comet USA", "#80b1d3", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/480336", "None", "None", "None", "None", "None", "None", "None"



"482031", "Comet IND", "#fdb462", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/482031", "None", "None", "None", "None", "None", "None", "None"



"485346", "Comet MYS", "#8dd3c7", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/485346", "None", "None", "None", "None", "None", "None", "None"



"485356", "Comet MEX", "#fb8072", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/485356", "None", "None", "None", "None", "None", "None", "None"



"533196", "HelpCenter PHL", "#bebada", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/533196", "None", "None", "None", "None", "None", "None", "None"



"140737488355453", "VPN - BLR - 139.71.211.9", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488355453", "None", "None", "None", "None", "None", "None", "None"



"140737488355455", "VPN - BOM - 139.71.210.9", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488355455", "None", "None", "None", "None", "None", "None", "None"



"140737488357684", "Comet PHL", "#b3de69", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488357684", "None", "None", "None", "None", "None", "None", "None"



"140737488357685", "Comet JPN", "#fb8072", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488357685", "None", "None", "None", "None", "None", "None", "None"



"140737488357686", "Comet FRA", "#80b1d3", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488357686", "None", "None", "None", "None", "None", "None", "None"



"140737488364643", "All Networks", "#bc80bd", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488364643", "None", "None", "None", "None", "None", "None", "None"



"140737488381955", "Test Rap", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488381955", "None", "None", "None", "None", "None", "None", "None"



"140737488384064", "Home Based Servicing - JA", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488384064", "None", "None", "None", "None", "None", "None", "None"



"140737488385411", "JA Ramp On", "#d9d9d9", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488385411", "None", "None", "None", "None", "None", "None", "None"



"140737488385565", "Mexico CCP issues - JA", "#fb8072", "and", "", "https://api.thousandeyes.com/v7/endpoint/labels/140737488385565", "None", "None", "None", "None", "None", "None", "None"

"Next Link Href", "Next Link Templated", "Next Link Type", "Next Link Deprecation", "Next Link Name", "Next Link Profile", "Next Link Title", "Next Link Hreflang"

"Self Link Href", "Self Link Templated", "Self Link Type", "Self Link Deprecation", "Self Link Name", "Self Link Profile", "Self Link Title", "Self Link Hreflang"
"https://api.thousandeyes.com/v7/endpoint/labels?aid=180981", "None", "None", "None", "None", "None", "None", "None"
